model,brand,type,price,engineSize,fuelType,overall
Saga,Proton,sedan,40764,1.3,petrol,3.8
Persona,Proton,sedan,50523,1.6,petrol,4.3
Ertiga,Proton,MPV,60000,1.4,petrol,4.3
Perdana,Proton,sedan,137690,2.4,petrol,4.3
Iriz,Proton,hatchback,47613,1.3,petrol,4.5
Preve,Proton,sedan,67160,1.6,petrol,4.3
Exora,Proton,MPV,68715,1.6,petrol,3.8
Suprima S,Proton,hatchback,70722,1.6,petrol,4.3
Myvi,Perodua,hatchback,46300,1.3,petrol,4.5
Axia,Perodua,hatchback,35662,1,petrol,3.4
Alza,Perodua,MPV,53565,1.5,petrol,3.7
Bezza,Perodua,sedan,37500,1,petrol,3.9
Accord,Honda,sedan,169800,2.4,petrol,3.8
City,Honda,sedan,82030,1.5,petrol,4
Civic,Honda,sedan,110430,1.8,petrol,4.5
CR-V,Honda,SUV,155700,1.5,petrol,4.5
Odyssey,Honda,MPV,254800,2.4,petrol,4
HR-V,Honda,SUV,107410,1.8,petrol,4.3
BR-V,Honda,SUV,83210,1.5,petrol,4.3
Jazz,Honda,hatchback,84880,1.5,hybrid,4.8
Ioniq,Hyundai,hatchback,116488,1.6,hybrid,4.8
Camry,Toyota,sedan,169900,2.5,hybrid,4.5
3 Series,BMW,sedan,258800,2,hybrid,4.6
C-Class,Mercedes-Benz,sedan,299888,2,hybrid,4.2
Vios,Toyota,sedan,81361,1.5,petrol,3.5
Avanza,Toyota,MPV,78444,1.5,petrol,3.6
Sienta,Toyota,MPV,97000,1.5,petrol,4.2
Fortuner,Toyota,SUV,169800,2.4,diesel,4
Hilux,Toyota,pickup,133900,2.8,diesel,4
Ranger,Ford,pickup,115088,2.2,diesel,4.7
Triton,Mitsubishi,pickup,114400,2.4,diesel,4.8
